symbol,action,price,amount,commission,slippage,pnl,timestamp,holdings,avg_entry_price
BTC/USDT,sell,30052.68614,0.252153,5.683406226194566,15.03386,-184.1412589130987,2023-06-30 12:00:00,0.0,0.0
BTC/USDT,buy,26118.29262,0.277064,5.42732896985076,13.052620000000001,0.0,2023-08-20 00:00:00,0.277064,26118.29262
BTC/USDT,sell,26149.708605,0.277064,5.433857148701789,13.081395,3.2703813193381093,2023-08-31 16:00:00,0.0,0.0
BTC/USDT,buy,26112.039495,0.304502,5.963376187729867,13.049495,0.0,2023-09-12 08:00:00,0.304502,26112.039495
BTC/USDT,sell,26384.18131,0.304502,6.025526982943215,13.198690000000001,76.84219996818649,2023-09-15 16:00:00,0.0,0.0
BTC/USDT,buy,29249.99769,0.260067,5.705219361933922,14.617690000000001,0.0,2023-10-20 00:00:00,0.260067,29249.99769
BTC/USDT,sell,34612.69265999999,0.260067,6.751214356506163,34.64734,1387.908778406482,2023-10-26 04:00:00,0.0,0.0
BTC/USDT,buy,35079.601035,0.260708,6.859149469974585,17.531035,0.0,2023-11-04 20:00:00,0.260708,35079.601035
BTC/USDT,sell,34960.89081,0.260708,6.835937940970109,17.48919,-37.78464328027077,2023-11-06 00:00:00,0.0,0.0
BTC/USDT,buy,35250.066224999995,0.260871,6.896790019636481,17.616225,0.0,2023-11-06 08:00:00,0.260871,35250.066224999995
BTC/USDT,sell,35037.15266,0.260871,6.855132788675146,17.52734,-62.39810740378893,2023-11-06 16:00:00,0.0,0.0
BTC/USDT,buy,36586.38405,0.224013,6.146869237644488,18.28405,0.0,2023-11-18 20:00:00,0.224013,36586.38405
BTC/USDT,sell,36956.55248,0.224013,6.2090611430266796,18.48752,76.71347936656285,2023-11-21 12:00:00,0.0,0.0
BTC/USDT,buy,37300.06071,0.204089,5.7093990676823925,18.64071,0.0,2023-11-23 16:00:00,0.204089,37300.06071
BTC/USDT,sell,37711.51481,0.204089,5.772379009543568,18.86519,78.20087680535697,2023-11-26 00:00:00,0.0,0.0
BTC/USDT,buy,38263.202040000004,0.276704,7.9406857929571215,19.122040000000002,0.0,2023-12-01 04:00:00,0.276704,38263.202040000004
BTC/USDT,sell,43862.067995000005,0.276704,9.102607246866361,21.942005,1540.125997965454,2023-12-07 04:00:00,0.0,0.0
BTC/USDT,buy,44193.075495,0.211212,7.000580896087455,22.085494999999998,0.0,2023-12-08 20:00:00,0.211212,44193.075495
BTC/USDT,sell,42288.42521,0.211212,6.69886714909089,21.154790000000002,-408.9838631445101,2023-12-11 00:00:00,0.0,0.0
BTC/USDT,buy,43115.677064999996,0.149366,4.830012165368092,21.547065,0.0,2023-12-14 16:00:00,0.149366,43115.677064999996
BTC/USDT,sell,42970.00425,0.149366,4.813693241104125,21.49575,-26.57225892639384,2023-12-24 20:00:00,0.0,0.0
BTC/USDT,buy,43175.91716999999,0.238002,7.706965978720753,21.57717,0.0,2023-12-27 16:00:00,0.238002,43175.91716999999
BTC/USDT,sell,42957.00999,0.238002,7.667890718729986,43.00001,-59.76823737308872,2024-01-03 12:00:00,0.0,0.0
BTC/USDT,buy,44083.13055,0.190477,6.297616843329263,22.030549999999998,0.0,2024-01-07 08:00:00,0.190477,44083.13055
BTC/USDT,sell,43496.440899999994,0.190477,6.213803679981974,21.7591,-117.96468814303341,2024-01-08 00:00:00,0.0,0.0
BTC/USDT,buy,42719.338995,0.157296,5.03968585991814,21.348995,0.0,2024-01-15 08:00:00,0.157296,42719.338995
BTC/USDT,sell,42032.43327,0.157296,4.95865021772844,21.02673,-113.00617313732795,2024-01-29 04:00:00,0.0,0.0
BTC/USDT,buy,42663.070875,0.231413,7.4045919152972814,21.320875,0.0,2024-01-29 12:00:00,0.231413,42663.070875
BTC/USDT,sell,42908.604965,0.231413,7.44720675057416,21.465035,49.37257361859608,2024-01-31 00:00:00,0.0,0.0
BTC/USDT,buy,43266.512445,0.257705,8.362497442229044,21.622445,0.0,2024-02-06 12:00:00,0.257705,43266.512445
BTC/USDT,sell,48703.106265,0.257705,9.41327550001637,24.363735000000002,1391.6241348830843,2024-02-13 12:00:00,0.0,0.0
BTC/USDT,buy,51582.848535,0.240784,9.31524345123858,25.778535,0.0,2024-02-24 16:00:00,0.240784,51582.848535
BTC/USDT,sell,61044.804090000005,0.240784,11.02395908100492,61.10591,2267.263547274117,2024-03-01 00:00:00,0.0,0.0
BTC/USDT,buy,69603.24423000001,0.138232,7.21604674230102,34.78423,0.0,2024-03-10 08:00:00,0.138232,69603.24423000001
BTC/USDT,sell,71314.31500500001,0.138232,7.3934402938283705,35.674995,229.13129507597162,2024-03-12 16:00:00,0.0,0.0
BTC/USDT,buy,73101.94270500001,0.119884,6.5728149744346664,36.532705,0.0,2024-03-13 08:00:00,0.119884,73101.94270500001
BTC/USDT,sell,72598.632525,0.119884,6.527560846220324,36.317475,-66.86639846534212,2024-03-13 12:00:00,0.0,0.0
BTC/USDT,buy,65850.24446,0.078094,3.85688174314443,65.78446000000001,0.0,2024-03-20 16:00:00,0.078094,65850.24446
BTC/USDT,sell,68805.126,0.078094,4.0299506323830006,68.874,226.72856835237715,2024-03-27 12:00:00,0.0,0.0
BTC/USDT,buy,66386.846835,0.143287,7.134279091834985,33.176835,0.0,2024-04-04 08:00:00,0.143287,66386.846835
BTC/USDT,sell,69229.368,0.143287,7.439751339462001,34.632,399.8565788298927,2024-04-09 12:00:00,0.0,0.0
BTC/USDT,buy,71012.758635,0.143407,7.6377950081770845,35.488635,0.0,2024-04-12 00:00:00,0.143407,71012.758635
BTC/USDT,sell,69312.62635,0.143407,7.454936855230839,34.67365,-251.2658074502258,2024-04-12 12:00:00,0.0,0.0
BTC/USDT,buy,66330.10384,0.094622,4.70721531416136,66.26384,0.0,2024-04-15 04:00:00,0.094622,66330.10384
BTC/USDT,sell,62280.92396,0.094622,4.41985919020734,31.15604,-387.56135779556695,2024-05-07 20:00:00,0.0,0.0
BTC/USDT,buy,61449.7095,0.210336,9.693814573044,30.709500000000002,0.0,2024-05-12 12:00:00,0.210336,61449.7095
